,ParentsScore,ParentSpeak,ParentUnderstand,ParentRead,ParentWrite,Highest_academic_years,curJobScore,non_English_understandability,English_speakability,English_understandability,English_readability,English_writability,most spoken language,race,race identity importance,felt_discrimination,visits to parents country,lived in parents country,home country,caseid,Language_understandability
224, , , , , ,12,38,4,3,4,4,3,3,5,2,1,0, ,1,225,4.0
225, , , , , ,15,53,4,4,4,4,4,3,5,3,1,4,0,1,226,4.0
226,53,3,3,3,2,14,34,4,4,4,4,4,1,12,2,0,0, ,1,227,4.0
227, , , , , ,18,33,4,4,4,4,3,3,66,3,1,7,0,1,228,4.0
228, ,1,1,1,1,15,39,4,4,4,4,4,1,46,3,1,0,0,1,229,4.0
229, , , , , ,14,38,2,4,4,4,4,1,52,3,0,0,0,1,230,3.0
230, , , , , ,14,50,4,4,4,4,4,1,70,3,1,0,0,1,231,4.0
234, , , , , ,15,41,4,4,4,4,3,2,9,3,0,1,0,1,235,4.0
236,42,4,4,4,4,16, ,3,4,4,4,4,1,52,2,1,1,0,1,237,3.5
237,44,3,3,3,3,14,53,3,4,4,4,4,3,5,3,0,1,0,1,238,3.5
238, , , , , ,14,55,4,4,4,4, ,1,19,2,1,1,0,1,239,4.0
240, ,4,4,4,4,12,39,3,4,4,4,3,1,10,2,0,0,0,1,241,3.5
241,39,3,3,3,2,15,53,4,4,4,4,4,1,6,3,1,2,0,1,242,4.0
242,20,4,4,4,4,15, ,3,4,4,4,4,1,67,3,1,2,0,1,243,3.5
243, , , , , ,12,39,3,4,4,4,4,1,66,3,1,12,0,1,244,3.5
244, ,3,3,3,3,18,68,4,3,3,3,3,3,23,3,1,2,0,4,245,3.5
247, , , , , ,12,37,3,4,4,4,4,1,0,3,1,0, ,1,248,3.5
248, , , , , ,12,32,4,4,4,4,4,3,5,3,1,6,0,1,249,4.0
249,52,4,4,4,4,10,38,4,4,4,4,4,1,12,2,0,0, ,1,250,4.0
250, ,3,3,3,3,12,37,4,4,4,4, ,3,11,2,1,0, ,2,251,4.0
252, , , , , ,14,23,4,4,4,4, ,1,0,2,0,3,0,1,253,4.0
253, , , , , ,16, ,3,4,4, ,4,3,44,3,1,0, ,1,254,3.5
254,28,2,3,2,2,14,56,4,3,4,3,4,3,10,2,1,0,0,1,255,4.0
255, , , , , ,12,42,3,3,3,3,3,3,5,2,1,20,0,1,256,3.0
256, , , , , ,16,42,2,4,4,4,3,1,33,1,1,0, ,1,257,3.0
257, ,4,4,4,4,16,53,3,4,4,4,4,1,22,3,0,1,0,1,258,3.5
259, , , , , ,15,39,3,4,4,4,4,1,22,3,0,3,0,1,260,3.5
260, ,3,3,1,1,14,21,4,4,4,4,4,3,9,3,1,0,0,1,261,4.0
261,53,3,3,3,3,12,32,4,4,4,4,3, ,9,2,0,0,0,1,262,4.0
262,39,2,2,2,2,14,20,4,4,4,4,4,3,10,3,1,24,0,1,263,4.0
263, , , , , ,12, ,3,4,4,4,4,1,10,2,0,2,0,1,264,3.5
264, ,2,3,2,2,14,42,3,3,3,3,3,3,10,1,0,1,0,1,265,3.0
265,42,3,3,3,3,12,30,4,4,4,4,4,3,17,3,1,3,0,1,266,4.0
266,42,4,4,4,4,15, ,4,4,4,4,4,1,53,2,0,3,0,1,267,4.0
267, , , , , ,14, ,3,3,3,3,3,3,60,2,0,1,0,1,268,3.0
268, ,2,2,2,2,16, ,4,4,4,4,4,1,0,2,1,20,1,1,269,4.0
269, , , , , ,16, ,4,4,4,4, ,3,12,2,0,1,0,1,270,4.0
270, , , , , ,12,34,4,4,4,4,4,3,5,3,0,1,0,1,271,4.0
271, , , , , ,14,34,4,4,4,4,4,1,0,1,0,0, ,1,272,4.0
272, , , , , ,14,34,4,3,4,4,4,3,5,3,0,0,0,1,273,4.0
273, , , , , ,12,44,4,3,3,3,3,3,5,3,0,0,0,1,274,3.5
274,43,4,3,4,2,10,57,3,3,3,3,3, ,5,2,1,2,0,1,275,3.0
275,28,2,3,3,2,10, ,4,4,4,4,4,3,13,3,1,0, ,1,276,4.0
276, , , , , ,14,51,4,4,4,4, ,1,5,1,0,1,0,1,277,4.0
277, , , , , ,10, ,4,4,4,4, ,3,5,3,0,0, ,1,278,4.0
278, , , , , ,15,34,4,4,4,4,4,3,11,3,0,0, ,1,279,4.0
279,29,2,3,2,2,15,34,4,4,4,4,4,3,17,3,1,2,0,2,280,4.0
280, , , , , ,12,38,4,4,4,4,4,3,5,3,1,0, ,1,281,4.0
281, , , , , ,14,53,4,4,4,4,4,1,11,3,0,0,0,1,282,4.0
282,52,4,4,4,4,14,53,2,4,4,4,4,1,53,2,1,3,0,1,283,3.0
286,49,4,4,4,4,12,33,1,4,4,4,4,1,22,2,1,0,0,1,287,2.5
288, , , , , ,14,50,4,4,4,4,4,1,9,3,1,1,0,4,289,4.0
289, , , , , ,14, ,4,4,4,4,4,1,7,3,1,3,0,1,290,4.0
290, , , , , ,14,34,4,4,4,4,4,1,5,3,0,3,0,1,291,4.0
291,42,2,3,3,1,14,49,4,4,4,4, ,1,13,2,0,2,0,1,292,4.0
292, , , , , ,14,34,4,4,4,4, ,1,5,2,0,1,0,1,293,4.0
293, ,1,2,2,1,14,42,4,4,4,4,4,3,13,3,0,0, ,1,294,4.0
294, , , , , ,10,21,4,4,4,3,3,3,9,1,1,1,0,1,295,4.0
295,32,3,3,3,2,16,53,4,4,4,4,4,1,10,2,1, ,0,1,296,4.0
296, , , , , ,14,39,3,3,3,3,3,1,5,3,0,4,0,1,297,3.0
297, , , , , ,12,38,4,4,4,4, ,1,5,3,1,0, ,1,298,4.0
298,53,4,4,4,4,12,34,2,4,4,4,4,1,5,2,1,1,0,1,299,3.0
299, , , , , ,14, ,4,4,4,4,4,3,5,2,1,15,0,1,300,4.0
300,60,4,4,4,4,18, ,4,4,4,4,4,1,70,3,1, ,0,1,301,4.0
301, , , , , ,14,53,3,4,4,4, ,1,13,2,0,0, ,1,302,3.5
302, , , , , ,14,39,4,3,4,4, ,1,12,3,1,0, ,1,303,4.0
303, , , , , ,12,39,3,4,4,4,4,1,5,3,0,0,0,1,304,3.5
304,37,2,2,2,2,14,51,4,4,4,4, ,3,5,1,0,0, ,1,305,4.0
305, , , , , ,14, ,4,4,4,3,2,1,5,2,0,4,0,1,306,4.0
307, ,3,3,3,3,12,37,3,4,3,3,3,1,23,1,0,0,0,1,308,3.0
308, , , , , ,14,44,4,4,4,4, ,3,12,3,1,0, ,1,309,4.0
309, , , , , ,14,36,4,4,4,4,4,3,9,3,0,300,1,2,310,4.0
310,17,2,2,2,2,12,38,3,4,4,4,4,1, ,3,0,0,0,1,311,3.5
311, , , , , ,14,55,4,4,4,4,4,3,5,2,0,0, ,1,312,4.0
312, , , , , ,18,42,4,4,4,4, ,1,62,3,1,5,0,4,313,4.0
313, , , , , ,15, ,3,4,4,4,4,1,25,2,1,0,0,1,314,3.5
314,39,2,2,2,2,12,53,3,4,4,4,4,2,24,2,1,0,0,1,315,3.5
315,37,3,3,3,3,15,34,3,4,4,4,3,1,46,2,1,0,0,1,316,3.5
316, , , , , ,10,20,4,4,4,4,4,3,24,3,1,0,0,1,317,4.0
318,39,4,4,4,4,12,37,4,4,4,4,4,3,23,3,1,1,0,1,319,4.0
319, , , , , ,14,53,4,4,4,4,4,1,22,3,1,1,0,1,320,4.0
320, ,3,3,3,2,12,53,4,4,4,4,4,1,66,3,1,3,0,1,321,4.0
321, , , , , ,14,39,4,4,4,4,4,1,5,3,1,5,0,1,322,4.0
322, , , , , ,14,49,4,4,4,4, ,1,12,3,0,1,0,1,323,4.0
323, , , , , ,14,49,4,4,4,4,4,3,5,3,0,0, ,1,324,4.0
324, , , , , ,12, ,3,4,4,4, ,1,12,2,0,0, ,1,325,3.5
325, , , , , ,15,62,4,4,4,4,4,2,16,3,0,25,1,4,326,4.0
326,42,2,2,2,1,14, ,4,4,4,4,4,2,13,3,0,0,0,1,327,4.0
327, , , , , ,16, ,3,4,4,4, ,1,4,3,1,6,1,1,328,3.5
328,29,1,2,1,1,15,49,4,4,4,4,4,3,13,3,0,1,0,1,329,4.0
329, , , , , ,12,37,4,3,4,4,4,1,12,3,0,0, ,1,330,4.0
330,39,4,4,4,4,16,26,3,4,4,4,4,1,12,2,0,0,0,1,331,3.5
331, , , , , ,14, ,4,4,4,4,4,1,14,2,0,0, ,1,332,4.0
332, ,2,2,2,2,14,50,4,4,4,4, ,3,5,2,1,0, ,1,333,4.0
333,17,2,3,1,1,14,53,3,4,4,4, ,3,5,3,0,0, ,1,334,3.5
334, , , , , ,14,53,3,4,4,4,4,1,5,2,1,6,0,1,335,3.5
335, , , , , ,10,49,4,4,4,4,4,1,12,3,0,0,0,1,336,4.0
336, , , , , ,15,49,4,4,4,4, ,3,7,3,0,7,1,4,337,4.0
337, , , , , ,14,50,4,4,4,4,4,1,5,3,1,1,0,1,338,4.0
338, , , , , ,12,39,4,4,4,4, ,1,6,3,0,0, ,1,339,4.0
339, , , , , ,16,42,2,4,4,4,4,1,4,1,1,1,0,1,340,3.0
340, , , , , ,12,42,4,4,4,4,3,3,13,3,0,1,0,1,341,4.0
341,56,4,4,4,4,16,72,1,4,4,4,4,1,68,2,1,5,0,1,342,2.5
342, ,3,3,3,2,15,44,4,4,4,4,4,1,11,3,0,0, ,1,343,4.0
343,49,3,3,3,3,15,56,4,4,4,4, ,3,13,2,0,1,0,1,344,4.0
344, , , , , ,12,44,4,4,4,4,4,1,0,2,0,0,0,1,345,4.0
345, , , , , ,16,53,4,4,4,4,4,1,12,2,0,0, ,1,346,4.0
346, , , , , ,14,28,3,3,3,3,3,3, ,2,1,0,0,4,347,3.0
347, , , , , ,16,51,4,4,4,4, ,1,11,2,0,1,0,1,348,4.0
348, ,2,1,1,1,10,34,4,4,4,4,4,1,10,2,1,0,0,1,349,4.0
349, , , , , ,12,51,4,4,4,4,4,1,5,1,0,4,0,1,350,4.0
350,37,2,2,1,1,12,23,4,3,3,2,2,3,9,2,1,2,0,1,351,3.5
351, ,3,3,3,3,14, ,4,4,4,4,4,1,16,3,0,3,0,1,352,4.0
352,23,2,2,2,2,15, ,4,3,4,4, ,3,12,2,1,0, ,1,353,4.0
353, , , , , ,12, ,4,3,4,4,3,2,5,2,1,24,0,1,354,4.0
354,31,2,2,2,2,14, ,4,4,4,4,4,3,7,3,0,1,0,1,355,4.0
355, , , , , ,15, ,3,4,4,4, ,1,5,3,1,0, ,1,356,3.5
