,ParentsScore,ParentSpeak,ParentUnderstand,ParentRead,ParentWrite,Highest_academic_years,curJobScore,non_English_understandability,English_speakability,English_understandability,English_readability,English_writability,most spoken language,race,race identity importance,felt_discrimination,visits to parents country,lived in parents country,home country,caseid,Language_understandability
766, ,2,2,2,1,15,42,4,3,3,4,3,3,9,3,1,1,0,1,767,3.5
767, , , , , ,14,31,4,4,4,4,4,1,9,3,0,52,1,1,768,4.0
768, , , , , ,12,23,3,3,3,3,3,3,10,2,1, ,0,1,769,3.0
769, ,2,3,2,2,14,32,4,4,4,4,3,3,9,2,0, ,0,1,770,4.0
770,28,2,2,2,2,15,34,4,4,4,4,4,1,9,3,1,8,1,1,771,4.0
771, , , , , ,10, ,4,3,3,3,2,3,9,2,0,3,0,1,772,3.5
772, , , , , ,15,42,4,4,4,4,4,3,10,3,1,3,0,4,773,4.0
773,42,2,3,2,1,15,18,4,3,4,3,3,3,9,2,1,4,0,4,774,4.0
774, , , , , ,10,31,4,4,4,4,4,3,10,3,0,0,0,1,775,4.0
775,17,3,3,3,1,15,30,4,4,4,4,4,3,9,3,1,10,1,4,776,4.0
776, , , , , ,12, ,3,3,4,3,3,3,6,3,1,3,0,1,777,3.5
777,28,3,3,2,2,10, ,4,3,3,3,3,3,5,3,1,6,0,4,778,3.5
778, , , , , ,15, ,4,4,4,4,4,2,10,3,1,100,0,4,779,4.0
779, , , , , ,14, ,3,4,4,4,4,3,10,3,0,0,0,1,780,3.5
780,26,2,3,2,1,10,56,4,4,4,4,4,3,9,2,0,0,0,1,781,4.0
781, , , , , ,14,51,4,4,4,4,4,1,5,3,1,10,0,1,782,4.0
782,21,2,3,2,1,14,38,4,4,4,4,4,1,5,3,1,0,0,1,783,4.0
783,43,2,3,3,3,14,55,4,4,4,4,4,3,9,3,1,3,1,4,784,4.0
784, , , , , ,14,53,3,4,4,4,4,1,10,3,0,0,0,1,785,3.5
785,39,2,2,3,2,14,31,4,4,4,4,4,2,9,3,0,6,0,1,786,4.0
786, ,1,2,1,1,12,44,3,3,3,3,2,3,9,1,1,1,0,1,787,3.0
787, , , , , ,14,43,4,4,4,4,4,3,10,2,0,1,0,1,788,4.0
788,38,1,2,1,1,12,21,4,4,4,4,4,3, ,3,0,2,0,1,789,4.0
789, ,2,2,2,2,12,23,4,4,4,4,4,3,5,3,0,3,0,1,790,4.0
790,47,2,2,2,1,14,42,4,4,4,4,4,3,9,3,0,3,0,1,791,4.0
791, ,4,4,3,3,12,52,4,4,4,4,3,1,10,1,1,0,0,1,792,4.0
792, , , , , ,14,20,4,4,4,4,4,1,10,2,1,0,0,1,793,4.0
793, , , , , ,12, ,4,4,4,4,4,3,10,3,1,4,0,1,794,4.0
794,26,2,2,2,2,12,44,4,4,4,4,4,3,6,3,1,12,0,1,795,4.0
795, ,2,2,2,1,12, ,4,4,4,4,4,1,10,2,0,4,0,1,796,4.0
796, , , , , ,14,21,4,4,4,4,4,1,10,3,0,0,0,1,797,4.0
797, , , , , ,12,38,3,3,3,3,3,1,5,3,1,0,0,1,798,3.0
798,42,4,4,4,4,14,27,4,4,4,4,4,1,5,3, ,1,0,1,799,4.0
799, , , , , ,14,20,4,4,4,4,4,3,5,2,0,6,0,1,800,4.0
800, , , , , ,12,38,4,4,4,4,4,2,5,3,0,5,0,1,801,4.0
801,27,4,4,4,4,14,34,4,4,4,4,4,3,5,2,0,1,0,1,802,4.0
802,33,4,4,4,3,14, ,4,4,4,4,4,3,10,2,1,0,0,1,803,4.0
803, ,2,3,2,2,12,20,4,4,4,3,3,3,5,3,1,15,0,4,804,4.0
804, , , , , ,18,42,4,4,4,4,4,3,5,3,0,10,0,4,805,4.0
805, , , , , ,18,51,4,4,4,4,4,1,22,2,1,4,0,1,806,4.0
806, ,4,4,4,4,18,60,4,4,4,4,4,1,23,3,1,0,0,1,807,4.0
807, , , , , ,12,39,3,4,4,4,4,1,23,2,0,4,1,1,808,3.5
808,58,4,4,4,4,14,34,3,4,4,4,4,1,23,3,0,2,0,1,809,3.5
809,39,3,3,4,3,15,48,4,4,4,4,4,1,22,3,0,2,0,1,810,4.0
810,38,3,3,3,3,14, ,1,4,4,4,4,3,68,3,1,0,0,1,811,2.5
811,16,3,3,3,2,15,26,3,4,4,4,4,1,10,3,1,5,0,1,812,3.5
812, , , , , ,16,42,3,3,3,3,4,1,66,3,1,0,0,1,813,3.0
813, , , , , ,14,26,3,4,4,4,4,3,10,2,1,3,0,1,814,3.5
814, , , , , ,14, ,4,4,4,4,4,3,9,3,0,20,0,4,815,4.0
815,37, , , , ,12, ,3,4,4,4,4,3,6,2,1,1,0,1,816,3.5
816, , , , , ,14,40,4,4,4,4,4,3, ,3, ,4,0,1,817,4.0
817,27,2,3,2,1,14,50,4,4,4,4,4,3,66,1,0,7,0,1,818,4.0
818, ,1,2,1,1,15, ,4,3,3,3,3,2,10,2,1,10,1,2,819,3.5
819,22,4,4,4,4,15,49,3,4,4,4,4,1,35,2,1,6,0,1,820,3.5
820, ,2,2,2,2,15,42,2,4,4,4,4,1,33,2,1,1,0,1,821,3.0
826,35,3,3,3,3,10, ,4,4,4,4,4,1,67,2,0,1,0,1,827,4.0
827, , , , , ,15,42,4,4,4,4,4,3,10,2,0,0,0,1,828,4.0
829,26,2,3,2,3,10,31,4,4,4,4,4,3,10,2,0,6,0,1,830,4.0
830,17,2,2,1,1,12, ,4,4,4,4,4,3,10,3,0,3,0,1,831,4.0
832,37,2,4,3,2,16, ,4,4,4,4,4,3,9,3,1,10,0,1,833,4.0
833, , , , , ,14,42,4,3,3,4,3,1,46,2,1,0,0,1,834,3.5
834, ,2,2,1,1,12,34,4,4,4,4,4,1,10,3,1,0,0,1,835,4.0
836, , , , , ,10,31,4,3,3,3,3,3,10,3,0,0,0,1,837,3.5
837, , , , , ,12,22,4,4,4,4,4,1,10,2,0,0,0,1,838,4.0
838, , , , , ,12,34,4,3,4,4,4,3,8,3,1,2,0,1,839,4.0
839, , , , , ,12, ,4,4,4,4,4,1,22,2,1,0,0,3,840,4.0
840,26,2,3,2,1,10,28,4,4,4,4,4,3,9,3,1,2,0,1,841,4.0
841, , , , , ,12,33,4,4,4,4,3,3,9,3,1,10,0,4,842,4.0
842, , , , , ,15,34,4,4,4,4,4,3,10,3,1,10,0,4,843,4.0
843,39,4,4,4,4,16,55,3,4,4,4,4,1,10,2,0,0,0,1,844,3.5
844,22,2,3,2,2,14, ,4,4,4,4,4,3,10,2,1,3,0,1,845,4.0
845,21,3,2,2,2,14,49,4,4,4,4,4,1,10,3,1,0,0,1,846,4.0
846,38,2,2,2,1,14, ,4,4,4,4,4,3,10,3,0,0,0,1,847,4.0
847,43,4,4,4,4,14,43,1,4,4,4,4,1,22,2,0,1,0,1,848,2.5
848,53,3,3,3,3,15,20,1,4,4,4,4,1,23,2,1,2,0,1,849,2.5
849, , , , , ,16,42,4,4,4,4,4,1,10,3,1,1,0,1,850,4.0
850, , , , , ,10,44,4,4,4,4,4,3,6,3,1,1,0,1,851,4.0
851,23,2,2,2,2,10,39,4,4,4,4,4,3,5,3,0,0, ,1,852,4.0
852,16,3,3,3,2,15,42,4,4,4,4,4,3,6,3,1,4,0,1,853,4.0
853, ,2,1,1,2,10,22,4,4,4,4,4,3,6,3,1,0,0,1,854,4.0
854, , , , , ,12,34,4,4,4,4,4,3,10,3,0,0,0,1,855,4.0
855, ,3,3,2,2,14, ,4,4,4,4,4,1,5,3,1,1,0,1,856,4.0
856, , , , , ,12,42,3,4,4,4,4,1,66,3,1,1,0,1,857,3.5
858,26,2,3,3,2,16,46,4,4,4,4,4,3,9,3,1,100,0,4,859,4.0
860, , , , , ,14,31,4,4,4,4,3,1,70,3,1,0,0,1,861,4.0
861,67,4,4,4,4,16,49,4,4,4,3,4,1,5,3,1,10,0,1,862,4.0
862, , , , , ,14,23,4,4,4,4,4,1,5,2,1,4,0,1,863,4.0
863,50,3,3,3,3,12,62,4,4,4,4, ,3,5,2,0,10,0,1,864,4.0
864,38,4,4,4,4,14,21,3,4,4,4,4,1,5,2,1,0, ,1,865,3.5
866, , , , , ,10, ,4,4,4,4,4,1,12,2,0,0,0,1,867,4.0
867, ,3,3,3,3,12,36,3,3,4,4,3,1,23,1,1,2,0,1,868,3.5
868, ,3,3,3,3,16,62,3,4,4,4,4,3,23,2,1,2,0,1,869,3.5
869,49,3,3,2,2,15,62,4,4,4,4,4,1,11,3,1,0,0,1,870,4.0
870, , , , , ,14,42,4,4,4,4,4,1,14,3,1,6,0,4,871,4.0
871, , , , , ,10, ,4,4,4,4,4,3,5,3,1,0,0,1,872,4.0
872, , , , , ,12,30,4,4,4,4,3,3,6,3,0,1,0,1,873,4.0
873,37,2,2,2,2,14,29,3,3,3,3,3,1,5,1,1,4,0,1,874,3.0
874, , , , , ,12,26,4,2,3,3,2,3,9,3,1,4,0,4,875,3.5
875, , , , , ,14,36,4,4,4,4, ,1,5,2,0,0, ,1,876,4.0
876, , , , , ,14,34,3,4,4,4,4,1,0,3,0,0,0,1,877,3.5
877,42,2,3,3,3,15,27,4,4,4,4,4,3,11,3,1,0,0,4,878,4.0
878,42,4,4,4,4,16,53,4,4,4,4,4,1,11,2,0,0, ,1,879,4.0
879,42,3,4,4,4,16,69,4,4,4,4,3,1,15,3,0,4,0,1,880,4.0
880,17,3,3,3,3,14,34,3,4,4,4,4,3,9,3,1,10,0,1,881,3.5
881, , , , , ,12,34,4,4,4,4,4,1,9,2,0,2,0,1,882,4.0
882, , , , , ,12,29,4,4,4,4,4,3,9,2,1,50,0,1,883,4.0
883, ,1,1,1,1,12, ,4,3,3,3,3,3,9,2,1,0,0,1,884,3.5
884, , , , , ,15,55,4,4,4,4,4,3,9,3,0,5,0,1,885,4.0
885,17,3,3,3,2,14,34,4,4,4,4,4,1,10,2,0,2,0,1,886,4.0
887, , , , , ,10,42,4,4,4,4,4,3,12,3,0,0, ,1,888,4.0
888, , , , , ,16,30,4,3,3,3,3,1,5,3,0,0, ,1,889,3.5
889, , , , , ,14,58,4,4,4,4,4,3,12,1,0,0,0,1,890,4.0
890, , , , , ,12,49,4,4,4,4,4,3,19,3,1,4,0,1,891,4.0
891, , , , , ,14,42,4,4,4,4,4,3,16,3,1,2,0,1,892,4.0
892, ,1,1,1,1,14,42,4,4,4,4,4,1,15,2,1,2,0,1,893,4.0
893, , , , , ,15, ,4,4,4,4,4,1,13,1,0,1,0,1,894,4.0
894, , , , , ,15,42,4,4,4,4,4,3,12,3,0,0, ,1,895,4.0
895, , , , , ,14,43,4,4,4,4,4,3,12,2,1,0,0,1,896,4.0
896, , , , , ,12,42,4,4,4,4,4,1,5,3,1,0,0,1,897,4.0
897, , , , , ,10,37,4,4,4,4,3,3,11,3,0,0,0,1,898,4.0
898, , , , , ,14, ,4,4,4,4,4,1,5,1,0,2,0,1,899,4.0
899,32,3,3,3,3,14,33,4,4,4,4,4,1,12,2,1,0,0,1,900,4.0
900, , , , , ,18,29,4,4,4,4,4,3,19,3,0,0,0,1,901,4.0
901, , , , , ,14, ,4,4,4,4,4,3,70,3,1,6,0,4,902,4.0
902,31,2,2,2,1,14,34,4,4,4,4,4,2,13,3,1,2,0,4,903,4.0
903, , , , , ,14,51,4,4,4,4,4,1,5,2,1,2,0,1,904,4.0
904, , , , , ,14,39,4,4,4,4,4,3,20,1,0,1,0,4,905,4.0
905,53,2,3,3,2,14,59,4,4,4,4,4,2,12,3,0,0,0,1,906,4.0
906, , , , , ,14,42,4,3,4,4,3,3,12,3,0,0,0,1,907,4.0
907, , , , , ,15,53,4,4,4,4,4,1,11,3,0,0, ,1,908,4.0
908, , , , , ,12,21,3,4,4,4, ,1,19,3,0,0, ,1,909,3.5
909, , , , , ,14, ,4,4,4,4,4,1,12,3,1,0,0,1,910,4.0
910, , , , , ,16,34,4,4,4,4,4,1,11,3,1,0, ,1,911,4.0
911,55,3,3,3,3,14,44,4,4,4,4,4,1,16,2,1,6,0,1,912,4.0
912, , , , , ,16,56,4,4,4,4,4,1,12,3,0,0, ,1,913,4.0
913, ,2,2,2,2,10,44,4,4,4,4, ,1,5,2,0,0, ,1,914,4.0
914,52,4,4,4,4,14,29,4,4,4,4,4,1,5,3,0,0, ,1,915,4.0
915, ,2,4,4,4,10,34,4,4,4,4,4,3,70,3,0,0,0,1,916,4.0
916, , , , , ,14,23,4,4,4,4,4,1,5,3,0,3,0,1,917,4.0
917, , , , , ,14,30,4,4,4,4,4,1,12,3,1,0, ,1,918,4.0
918, , , , , ,16,58,4,4,4,4,4,3,13,2,0,1,0,1,919,4.0
919,31,2,2,2,2,14,42,4,4,4,4,4,3,5,1,0,3,0,1,920,4.0
920, , , , , ,14,69,3,4,4,4,4,1,5,3,0,2,0,1,921,3.5
921, , , , , ,15,62,3,3,3,3,3,1,12,2,1,0,0,1,922,3.0
922, , , , , ,12,53,3,4,4,4,4,1,7,3,1,0,0,1,923,3.5
923,26,2,3,2,2,14,51,4,4,4,4,4,1,66,1,0,2,0,1,924,4.0
924,29,2,2,2,2,14, ,4,4,4,4,4,1,11,3,0,0, ,1,925,4.0
925,53,4,4,4,4,14,29,4,4,4,4,4,1,13,3,1,1,0,1,926,4.0
926, ,1,1,1,1,14,44,3,3,3,3,3,3,13,3,1, ,0,1,927,3.0
927,33,4,4,4,4,14,44,4,4,4,4,4,1,12,3,0,0, ,1,928,4.0
928,52,4,4,4,4,18,69,4,4,4,4,4,3,5,3,0,0,0,1,929,4.0
929,39,4,4,4,4,18,57,4,4,4,4,4,1,12,3,1,0,0,1,930,4.0
930, ,3,3,3,3,15,50,4,4,4,4,4,3,10,3, ,48,0,4,931,4.0
931,31,3,3,2,2,12,33,3,3,3,3,3,2,5,2,1,2,0,4,932,3.0
932,26,4,4,4,4,14,42,4,4,4,4,4,3,8,3,1,3,0,1,933,4.0
933, , , , , ,14,31,4,4,4,4,4,1,10,3,0,10,0,1,934,4.0
934,28,2,2,1,1,12, ,4,4,4,4,4,1,10,2,1,2,0,1,935,4.0
935, , , , , ,14, ,4,4,4,4,3,1,10,3,1,5,0,1,936,4.0
936, ,3,3,2,2,10,38,4,4,4,4,4,1,5,3,1,36,0,1,937,4.0
937,47,3,4,3,2,16,60,4,4,4,4,4,3,9,3,0,10,0,1,938,4.0
938,50,3,3,3,3,14,34,4,4,4,4,4,3,10,3,1,0,0,1,939,4.0
939,39,3,4,3,3,12,34,4,4,4,4,4,3,9,2,1,1,0,1,940,4.0
940, ,2,2,2,2,12, ,4,4,4,4,4,3,9,3,1,1,1,1,941,4.0
941, , , , , ,12, ,4,3,4,4,3,3,10,2,1,0,0,1,942,4.0
944,42, , , , ,12,39,4,4,4,4,4,3,5,3,0,0,0,1,945,4.0
945, , , , , ,12,49,4,4,4,4,4,1,5,1,1,0, ,1,946,4.0
946,38,2,2,2,2,14,42,4,4,4,4,4,3,69,3,1,5,0,1,947,4.0
947, , , , , ,10,33,4,4,4,4,4,1,12,1,1,0,0,1,948,4.0
948, , , , , ,15,38,4,4,4,4,4,1,5,1,0,5,0,1,949,4.0
949, , , , , ,16, ,4,4,4,4,4,1,12,1,1,0, ,1,950,4.0
950, , , , , ,12, ,4,4,4,4,4,1,12,3,0,1,0,1,951,4.0
951,26,2,2,1,1,15,20,4,4,4,4,4,1,5,3,0,0,0,1,952,4.0
952, , , , , ,10,38,4,4,4,4,3,3,5,3,1,2,0,4,953,4.0
953, ,2,2,2,2,12,50,4,4,4,4,4,3,5,3,1,5,0,1,954,4.0
954, , , , , ,16,53,4,4,4,4,4,3,15,3,1,8,0,1,955,4.0
955,21,2,2,2,1,15,38,4,3,3,3,3, ,5,3,1,1,0,1,956,3.5
957,23,3,3,4,3,16,53,4,4,4,4,4,3,10,2,1,12,0,1,958,4.0
958, ,2,2,2,2,12,22,4,4,4,4,4,1,10,3,0,4,0,1,959,4.0
959, , , , , ,14,31,4,3,3,3,2,2,9,1,0,3,0,1,960,3.5
960, , , , , ,14,52,4,4,4,4,3,1,14,3,1,0,0,1,961,4.0
961,42,3,4,3,3,14,37,4,4,4,4,4,1,10,3,0,200,0,1,962,4.0
962, , , , , ,14,44,4,4,4,4,4,3,5,3,0,0,0,1,963,4.0
963, , , , , ,15,23,4,4,4,4,4,3,19,3,1,19,1,3,964,4.0
964, ,1,1,1,1,12,39,3,4,4,4,4,1,7,2,0,0,0,1,965,3.5
965, , , , , ,10,46,4,4,4,4,4,1,5,3,1,0,0,1,966,4.0
966,48,4,4,4,4,14,42,3,3,4,4, ,1,5,3,0,0, ,1,967,3.5
967, , , , , ,14,53,4,4,4,4,4,3,12,2,0,1,0,4,968,4.0
968, , , , , ,14,45,4,4,4,4,4,3,5,3,1,0,0,1,969,4.0
969, ,2,3,1,1,14,42,4,4,4,4,4,3,12,3,0,0, ,1,970,4.0
970, ,3,3,2,2,10,33,3,3,3,3,3,3,10,1,0,5,0,1,971,3.0
971, ,3,3,3,3,14,35,4,4,4,4,4,3,8,2,0,25,0,1,972,4.0
972, ,1,2,1,1,10,16,3,3,3,3,3,3,9,3,0,0,0,1,973,3.0
973, ,4,4,4,4,10,44,4,4,4,4,4,1,10,3,1,24,0,1,974,4.0
974, , , , , ,12,29,3,3,3,3,3,1,9,3,0,25,0,1,975,3.0
975, , , , , ,16, ,4,4,4,4,4,1,12,1,0,0, ,1,976,4.0
976, , , , , ,10,31,4,4,4,4,2,3,5,1,0,2,0,1,977,4.0
977, , , , , ,12,38,3,3,3,3,3,3,5,3,1,0,0,1,978,3.0
978, , , , , ,10,38,4,4,4,4,4,3,5,3,0,0, ,1,979,4.0
979,32,3,3,3,2,12,34,4,4,4,4,4,3,11,3,0,0,0,1,980,4.0
980,53,3,3,3,3,14,33,4,3,4,3,2,1,5,2,1,3,1,1,981,4.0
981, , , , , ,10,37,4,4,4,4,4,3,9,3,0,25,0,1,982,4.0
982, , , , , ,14,39,4,3,4,4,3,1,16,2,0,6,0,1,983,4.0
984,39,2,2,2,2,14,26,4,4,4,4,4,3,9,3,0,6,0,1,985,4.0
985, , , , , ,12,55,4,4,4,4,4,1,5,1,0,12,0,1,986,4.0
986, , , , , ,15,49,4,4,4,4,4,1,5,3,0,0,0,1,987,4.0
987, , , , , ,12,44,4,4,4,4,4,3,10,3,0,5,0,1,988,4.0
989,42,3,3,3,3,14, ,4,4,4,4,4,1,9,3,1,12,0,1,990,4.0
990, , , , , ,12,45,3,3,3,3, ,3,5,3,0,10,0,1,991,3.0
991, , , , , ,12, ,4,4,4,4,4,3,9,3,0,0,0,1,992,4.0
992, ,2,2,3,3,14, ,4,3,3,3,3,1,5,3,1,3,0,1,993,3.5
993, , , , , ,15,27,4,4,4,4,4,1,17,2,1,4,0,3,994,4.0
994,42,3,3,3,3,14,38,4,4,4,4,4,1,5,3,1,0,0,1,995,4.0
995, , , , , ,12, ,4,4,4,4,4,3,5,2, ,3,0,1,996,4.0
996, , , , , ,14,42,4,4,4,4,4,3,11,3,1,0,0,1,997,4.0
997, , , , , ,10, ,4,4,4,4,4,3,5,3,0,1,1,1,998,4.0
998, , , , , ,16,57,4,4,4,4,4,1,12,2,1,0, ,1,999,4.0
999,28,3,3,3,3,15,52,3,4,4,4,4,1,16,3,1,3,0,1,1000,3.5
1000, , , , , ,12,20,4,4,4,4,4,1,9, , ,1,0,1,1001,4.0
1001, ,1,1,1,1,12, ,4,4,4,4, ,2,17,3,0,0, ,1,1002,4.0
1002, , , , , ,16,57,4,4,4,4,4,1,12,3,0,0,0,1,1003,4.0
1003, , , , , ,18,70,4,4,4,4,4,1,12,2,0,0, ,1,1004,4.0
1004,26,3,3,3,3,18, ,4,3,3,2,2,3,12,3,1,0,0,1,1005,3.5
1005,60,4,4,4,4,12,39,4,4,4,4,4,3,20,3,1,40,1,4,1006,4.0
1006, ,2,3,2,2,15,48,3,4,4,4,3,1,5,2,1,0, ,1,1007,3.5
1007, , , , , ,15,46,4,4,4,4,4,3,6,3,1,3,1,1,1008,4.0
1008, , , , , ,12, ,1,4,3,4,4,1,5,1,0,0,0,1,1009,2.0
1009,52,4,4,4,4,16,62,4,4,4,4, ,1,5,3,0,1,0,1,1010,4.0
1010,34,4,4,4,4,12,52,4,4,4,4, ,3,18,3,1,1,0,1,1011,4.0
1011, , , , , ,15,44,4,4,4,4, ,1,0, ,0,0, ,1,1012,4.0
1012, ,3,3,3,3,15,60,4,4,4,4,4,3,15,3,1,5,0,1,1013,4.0
1013,72,3,4,3,3,14,34,4,4,4,4, ,1,5,3,0,2,0,1,1014,4.0
1014,58,3,3,3,2,12,43,4,4,4,4,4,1,66,3,0,8,0,1,1015,4.0
1015, , , , , ,14,53,4,4,4,4,4,3,12,3,0,0, ,1,1016,4.0
1016, , , , , ,15,55,4,4,4,4,4,1,11,2,0,0, ,1,1017,4.0
1017, ,3,3,2,2,15,67,4,3,4,4,2,2,10,3,0,3,0,1,1018,4.0
1018,42,2,3,3,2,14,55,4,4,4,4,4,1,5,3,0,17,0,1,1019,4.0
1019, , , , , ,12,42,4,4,4,4,4,1,12,2,0,0,0,1,1020,4.0
1020,42,4,4,4,4,14,44,4,4,4,4,4,3,12,3,0,0,0,1,1021,4.0
1021, , , , , ,15,42,4,4,4,4,4,3,12,3,1,0, ,1,1022,4.0
1022, , , , , ,18,60,4,4,4,4,4,1,16,2,1,30,0,1,1023,4.0
1023, , , , , ,12,48,4,4,4,3,4,3,11,3,1,0,0,1,1024,4.0
1024, ,2,2,2,2,14,42,4,4,4,4,4,3,5,2,0,1,0,1,1025,4.0
1025,42,3,3,3,3,14,38,4,4,4,4,4,3,18,3,1,2,0,4,1026,4.0
1026, , , , , ,14,62,4,4,4,4,4,3,70,3,1,1,0,2,1027,4.0
1027, , , , , ,12,38,4,4,4,4,4,1,11,3,0,0, ,1,1028,4.0
1028, , , , , ,14,44,4,4,4,3,3,3,66,3,1,54,0,4,1029,4.0
1029,55,2,2,2,2,15,57,4,4,4,4,4,1,5,3,0,0,0,1,1030,4.0
1030,49,3,4,4,3,14,42,4,4,4,4,4,3,13,3,0,4,0,1,1031,4.0
1031,53,3,3,3,3,12,32,4,4,4,4,4,1,5,3,1,1,0,1,1032,4.0
1032, , , , , ,12,45,4,3,3,3,3,3,12,3,0,0,0,1,1033,3.5
1033, , , , , ,18,42,4,4,4,4,4,3,12,3,0,0,0,1,1034,4.0
1034,39,3,3,3,3,14,52,4,4,4,4,4,1,5,3,0,12,0,1,1035,4.0
1035,42,3,3,3,3,15,49,4,4,4,4,4,3,11,2,0,0,0,1,1036,4.0
1036,31,3,3,3,3,15,49,4,4,4,4,4,1,5,3,1, , ,1,1037,4.0
1037, , , , , ,12,34,4,4,4,4,4,3,5,2,1,0,0,1,1038,4.0
1038,44,4,4,4,4,14,50,4,4,4,4,4,1,12,2,0,0,0,1,1039,4.0
1039, , , , , ,18,57,4,4,4,4,4,1,12,3,1,0,0,1,1040,4.0
1040, , , , , ,14,50,4,4,4,4,4,3,9,3,1,2,0,4,1041,4.0
1041, , , , , ,14,21,3,4,4,4,4,3,6,3,1,0,0,1,1042,3.5
1042, , , , , ,15,67,4,4,4,4,4,1,70,2,0,0, ,1,1043,4.0
1043,49,3,3,3,3,15,53,3,4,4,4,4,1,5,2,0,0, ,1,1044,3.5
1044,51,3,3,3,3,15,50,4,4,4,4,4,3,0,2,0,0,0,1,1045,4.0
1045,52,3,4,3,3,15,53,4,4,4,4,4,1,12,3,0,0,0,1,1046,4.0
1046, , , , , ,14, ,3,4,4,4,4,3,13,3,0,4,0,4,1047,3.5
1047, , , , , ,12,50,4,4,4,4,4,3,16,3,0,8,0,1,1048,4.0
1048, ,2,2,2,2,15,64,4,4,4,4,4,3,18,3,0,30,1,4,1049,4.0
1049, , , , , ,10,52,4,4,4,4, ,3,6,3,1,1,0,1,1050,4.0
1050,32,3,3,3,3,10, ,4,4,4,4,4,1,7,3,1,1,0,1,1051,4.0
1051, , , , , ,12, ,3,4,4,4,4,3,10,2,1,15,0,1,1052,3.5
1052, , , , , ,14,53,4,4,4,4,4,3,20,2,0,10,0,1,1053,4.0
1053, , , , , ,14,53,4,4,4,4, ,1,12, ,0,12,0, ,1054,4.0
1054, , , , , ,12,38,3,4,4,4,4,1,8,2,1,50,0,1,1055,3.5
1055, , , , , ,12,22,4,4,4,4,4,3,11,2,1,0,0,1,1056,4.0
1059, , , , , ,12,67,4,4,4,4,4,3,12,3,1,0,0,1,1060,4.0
1061,23,3,3,3,3,16,52,4,4,4,4,4,1,13,2,1,1,0,1,1062,4.0
1062,35,4,4,4,4,12,53,4, ,4,4,4,1,12,2,1,0, ,1,1063,4.0
1063, , , , , ,14,34,4,4,4,4,4,1,5,3,0,3,0,1,1064,4.0
1064, , , , , ,12, ,4,4,4,4,4,2,10,3,0,4,0,4,1065,4.0
1065, , , , , ,12,52,3,4,4,4,4,1,5,1,1,1,0,1,1066,3.5
1066, ,2,2,2,2,12, ,4,4,4,4,4,1,5,1,0,6,0,1,1067,4.0
1067,17,2,2,1,1,18,57,3,4,4,4,4,1,67,2,0,0,0,1,1068,3.5
1068, , , , , ,14,39,2,4,4,4,4,1,2,1,1,0,0,1,1069,3.0
1069,26,2,3,3,2,12,26,4,4,4,4,4,1,9,3,0,0,0,1,1070,4.0
1070,39,4,4,4,4,16,55,3,4,4,4,4,1,5,2,0,1,0,1,1071,3.5
1071,62,4,4,4,4,16,42,4,4,4,4,4,1,13,3,1,1,0,1,1072,4.0
1072,53,3,3,3,3,18,51,4,4,4,4,4,1,5,3,1,30,0,4,1073,4.0
1073, , , , , ,14,45,4,4,4,4,4,3,12,3,0,0,0,1,1074,4.0
1074, ,2,2,2,2,14,44,4,4,4,4,4,3,13,3,0,2,0,1,1075,4.0
1075, , , , , ,14,49,4,4,4,4, ,1,5,2,1,2,0,1,1076,4.0
1076, , , , , ,14,38,4,4,4,4,3,1,7,3,0,5,0,1,1077,4.0
1077, ,2,2,2,2,18,34,4,4,4,4,4,3,6, ,0,0,0,1,1078,4.0
1078,26,4,4,4,4,14,33,4,4,4,4,4,3,52,3,1,0,0,1,1079,4.0
1081, , , , , ,16,67,4,4,4,4,4,1,11,3,1,0, ,1,1082,4.0
1082, , , , , ,14, ,4,4,4,4,4,1,13,3,1,0, ,1,1083,4.0
1083, , , , , ,14,38,4,4,4,4,4,3,5,3,0,2,0,1,1084,4.0
1084, , , , , ,14,50,4,4,4,4,4,3,11,3,0,0,0,1,1085,4.0
1085, , , , , ,14,49,4,4,4,4,3,3,9,3,1,8,1,1,1086,4.0
1086,26,1,1,1,1,15,42,3,4,4,4,4,3,12,3,1,0, ,1,1087,3.5
1087, , , , , ,15, ,4,4,4,4,4,3,12,3,1,0,0,4,1088,4.0
1088, , , , , ,16,58,4,4,4,4,4,1,5,3,0, ,0,1,1089,4.0
1089, , , , , ,15,34,2,4,4,4,4,3,32,2,1,3,0,1,1090,3.0
1092, , , , , ,14,20,1,4,4,4,4,1,22,3,1,2,0,1,1093,2.5
1093,42,4,4,4,4,15, ,4,4,4,4,4,1,22,3,1,1,0,1,1094,4.0
1094, ,3,3,4,2,14,53,4,4,4,4,4,1,9,2,1,30,0,4,1095,4.0
1095, , , , , ,12,34,4,4,4,4,4,3,9,3,0,3,0,4,1096,4.0
1096,31,3,3,3,3,14,46,4,4,4,4,4,1,22,3,1,0,0,1,1097,4.0
1097, , , , , ,14,39,1,4,4,4,4,1,23,3,1,1,0,1,1098,2.5
1098,55,4,4,4,3,14,42,4,4,4,4,4,1,23,3,1,1,0,1,1099,4.0
1099, , , , , ,16,50,4,4,4,4,4,1,22,1,0,2,0,1,1100,4.0
1100, , , , , ,15,50,4,4,4,4,4,1,22,3,1,0,0,1,1101,4.0
1101,45,4,4,4,4,15,53,3,4,4,4,4,1,22,3,1,1,0,1,1102,3.5
