"","ea","mi","english","work"
"4964",2,2000,2.75,1
"4971",9,3000,4,1
"4976",2,0,1,7
"4977",11,2680,4,1
"4978",4,2500,2.5,1
"4980",4,2500,3,1
"4984",2,0,1.75,3
"4986",4,600,1.75,2
"4987",3,0,3.75,4
"4988",10,2200,4,1
"4989",4,800,2.25,2
"4990",5,0,3.25,3
"4994",2,0,1.75,6
"4995",2,0,2,4
"4998",11,1900,3,1
"5003",4,2400,4,1
"5004",4,0,4,6
"5005",4,2800,3.75,1
"5009",9,4000,3,1
"5011",4,1216,2.75,1
"5012",8,2200,4,1
"5015",2,0,2,8
"5017",9,2000,4,1
"5018",2,800,1.5,1
"5019",2,800,1,1
"5021",3,0,2,8
"5026",11,0,3.25,6
"5027",4,3869,3,1
"5029",2,0,1.25,8
"5032",2,0,1,8
"5033",2,0,1.75,7
"5034",2,0,1.5,8
"5035",3,0,2,8
"5036",2,0,1,7
"5037",2,0,2.75,8
"5048",3,0,3,3
"5050",10,2500,2.75,1
"5053",2,0,2,3
"5054",2,0,1,7
"5055",8,1500,4,2
"5058",4,0,2,8
"5063",3,800,3,1
"5065",2,0,2,7
"5066",2,0,1.25,6
"5072",1,0,1,4
"5074",4,2550,2,2
"5076",10,4000,4,1
"5079",9,0,1,7
"5083",2,0,1.5,4
"5084",4,0,1.5,7
"5090",2,0,1.5,8
"5094",10,3200,3,1
"5095",2,2083,4,1
"5097",5,1800,4,1
"5098",2,0,2.75,6
"5102",2,0,1.5,7
"5110",2,0,1.75,3
"5111",2,0,1,7
"5114",9,700,3,2
"5121",8,0,4,8
"5131",3,1000,4,1
"5139",3,0,4,9
"5143",2,1600,2,1
"5148",9,3500,4,1
"5150",9,1400,4,1
"5153",4,1600,4,1
"5154",9,1450,4,1
"5156",5,1600,4,1
"5163",9,1280,4,1
"5169",9,800,3.25,1
"5171",8,2500,4,1
"5177",7,2000,4,1
"5180",10,2700,4,1
"5188",9,3000,4,2
"5191",4,0,4,8
"5196",3,800,2.75,1
"5227",7,2200,4,1
"5230",3,14000,2.5,1
"5242",2,600,1.5,1
"5253",10,0,3,6
"5254",3,1400,2.25,1
"5259",10,3500,3,1
"5260",7,2000,2,1
"5261",7,1000,2,1
