"","ea","mi","english","work"
"827",2,400,3,2
"830",6,1600,2.5,1
"831",2,800,1.5,1
"833",3,1400,2.75,1
"835",3,0,1.5,8
"841",2,1100,2,1
"844",9,2700,4,1
"845",3,500,2.25,1
"846",2,200,2.25,2
"847",2,1200,1.75,1
"848",10,3000,4,1
"849",9,1000,3,1
"852",5,800,2,1
"853",5,350,2.75,2
"854",2,0,1.5,8
"856",4,0,2.5,8
"859",7,620,2.5,1
"862",11,7500,4,1
"864",8,2500,3,1
"865",7,2000,4,1
"866",10,5000,4,1
"868",10,3000,3,1
"869",9,0,3,6
"870",10,2200,2.5,1
"874",4,2000,2,1
"878",7,830,2.75,1
"879",7,3000,4,1
"880",10,2000,3.75,1
"881",2,0,3,3
"884",2,0,1,8
"886",4,800,2.75,1
"893",7,0,1,8
"900",4,700,3,1
"903",8,1000,1.75,1
"906",4,560,2.5,1
"912",6,1400,3,1
"914",7,400,2,1
"915",8,2000,4,1
"916",9,0,3.5,3
"920",4,800,2,1
"924",12,2500,2.25,1
"925",4,900,2,1
"926",10,1800,4,1
"927",2,0,1,8
"928",4,5000,4,1
"929",8,2800,4,1
"930",10,5500,4,1
"931",4,0,3,8
"932",2,1200,2.5,1
"933",8,2400,4,1
"935",2,1200,1.5,2
"937",4,0,2.5,8
"938",7,800,3,2
"939",5,850,3,2
"940",9,2500,3.25,1
"941",4,0,2,8
"943",2,1200,2.5,1
"947",4,800,2,1
"952",2,530,1.5,2
"954",2,0,2,3
"956",2,1400,1.75,1
"957",2,590,2.75,2
"958",7,2400,3.25,1
"959",2,0,2,7
"962",2,0,3.25,6
"965",3,0,1,8
"967",3,1400,4,1
"970",3,0,1.75,3
"971",3,0,2.5,8
"972",2,0,3,8
"973",1,0,1.25,8
"974",4,0,4,8
"980",4,1000,2.75,1
"981",7,2500,3,1
"985",2,700,2,1
"989",4,800,3,1
"993",7,0,2.5,8
"995",4,1200,3,1
"1000",7,1000,3,2
"1002",2,0,1,8
"1005",10,4000,3,1
"1007",2,300,2.25,2
"1010",9,2700,4,1
"1011",9,6000,4,1
"1013",7,1500,3,1
"1014",10,750,3.25,1
"1018",2,1800,2.5,1
"1019",9,400,2.5,2
"1021",4,1200,4,1
"1025",2,0,2,4
"1026",7,2000,3,1
"1030",5,400,2,2
"1035",9,600,3,2
"1036",10,800,3,1
"1037",8,1000,3,1
"1039",7,2500,4,1
"1044",10,1000,3,1
"1045",4,1500,3,1
"1046",4,2700,3.25,1
"1049",7,0,2,3
"1051",7,2600,3,1
"1057",7,600,2.25,1
"1058",9,3780,4,1
"1059",7,3250,3,1
"1062",10,2000,3,1
"1063",7,1000,4,2
"1067",3,0,2,8
"1068",2,600,1.5,2
"1070",6,1200,2.5,1
"1071",11,2000,4,1
"1072",10,2500,4,1
"1073",5,2000,3,1
"1075",4,0,2,7
"1078",6,0,2,8
"1079",4,800,4,1
"1080",4,0,4,8
"1087",2,1800,1,1
"1091",9,3000,4,1
"1092",4,1400,4,1
"1094",10,1300,4,1
"1095",2,2000,3,1
"1097",10,1000,3,1
"1099",10,1500,3.75,1
"1102",7,1200,4,1
"1105",3,0,2.25,8
"1108",9,565,4,1
"1110",1,0,1.5,7
"1113",6,1000,2.5,1
"1114",10,1200,4,1
"1115",9,750,3.5,1
"1121",9,0,2.5,8
"1122",4,1150,2,1
"1125",10,0,3.75,7
"1127",3,1200,2,1
"1130",2,0,2,7
"1131",2,1000,2.5,1
"1133",2,1600,2.5,1
"1135",2,300,1.25,2
"1136",4,3200,4,1
"1137",2,0,1.5,4
"1138",2,0,1.5,4
"1143",7,2000,1.75,1
"1144",4,2000,3,1
"1145",11,0,3,6
"1146",3,0,2.75,3
"1147",2,0,2,7
"1150",9,1400,3,1
"1151",2,0,1,7
"1154",10,1200,2.75,1
"1156",3,0,2.5,8
"1158",2,0,1,7
"1160",2,0,1.25,3
"1162",4,2000,2,1
"1163",2,0,1,8
"1170",10,1400,3,1
"1172",4,1600,3,1
"1173",10,5000,4,1
"1176",10,3000,4,1
"1179",4,500,2,2
"1180",4,2800,3,1
"1183",4,0,2.75,3
"1184",4,900,3,1
"1189",5,600,2,2
"1191",10,1000,3,1
"1193",4,2000,4,1
"1194",4,2500,2.5,1
"1196",10,4000,3.75,2
"1198",10,3800,2.5,1
"1201",7,2800,4,1
"1202",9,6000,4,1
"1205",5,1500,3,1
"1210",4,1200,4,1
"1211",10,3000,4,1
"1212",11,8000,4,1
"1215",10,2800,4,1
"1217",9,2000,4,1
"1219",10,3500,4,1
"1220",10,2710,4,1
"1221",9,1500,3.5,1
"1222",9,4500,4,1
"1223",10,1400,4,1
"1224",3,0,3.75,8
"1225",10,5000,4,1
"1227",10,0,4,7
"1228",3,1200,3,1
"1230",9,0,4,5
"1231",9,6000,4,1
"1232",4,0,2.75,3
"1235",9,361,2.75,2
"1237",7,1200,2.75,1
"1240",2,0,1.75,8
"1241",2,0,1,8
"1242",7,0,2.5,4
"1243",7,0,4,8
"1245",7,1100,4,1
"1246",5,3000,4,1
"1248",7,2000,3,2
"1249",2,200,2.25,2
"1250",5,1500,2.75,1
"1252",7,1200,2.5,2
"1253",4,0,3.75,4
"1254",2,560,2.75,2
"1255",9,0,4,8
"1258",2,0,1.5,8
"1259",2,0,1.75,8
"1261",2,0,1,4
"1262",2,650,2,2
"1263",2,2000,2,1
"1267",2,2300,1,1
"1268",2,2000,1.25,2
"1269",2,1000,2.5,1
"1272",2,425,2.75,2
"1273",5,400,4,2
"1275",3,1600,2,1
"1276",3,560,3.75,2
"1277",2,500,1.25,2
"1278",2,2000,2.75,1
"1280",2,400,3,2
"1281",7,0,4,3
"1284",3,1100,2.75,2
"1285",2,0,2,8
"1287",2,2000,2.75,2
"1289",2,0,2,8
"1290",3,1400,2.75,1
"1293",5,1500,2.25,2
"1294",4,1600,3.75,1
"1295",2,1200,3,1
"1297",2,1200,2.5,1
"1299",4,2250,1.5,1
"1300",4,0,2,8
"1307",6,1900,3,1
"1309",9,16000,2.25,1
"1315",8,239,2.25,1
"1316",10,1400,3.25,1
"1323",9,0,3,8
"1325",2,0,2,7
"1326",4,0,3,4
"1328",10,0,3.5,3
"1331",10,1500,3.5,1
"1340",11,4000,4,1
"1344",8,1200,4,1
"1345",2,0,1,8
"1348",4,3400,4,1
"1349",6,5000,4,1
"1353",9,4500,4,1
"1354",9,1000,2.25,1
"1355",7,1600,4,1
"1356",9,0,1.75,4
"1360",2,600,1.25,2
"1362",10,3500,3.75,1
"1363",9,0,3,8
"1366",8,1500,4,1
"1367",4,2000,2.25,1
"1369",4,900,2,1
"1370",10,3000,4,1
"1371",10,0,4,8
"1373",11,4000,4,1
"1376",7,3000,3,1
"1377",9,1800,2,1
"1378",6,1200,2,1
"1380",3,1200,4,1
"1381",8,0,2,9
"1382",10,3500,3,1
"1383",7,1000,4,1
"1388",9,1200,3,1
"1390",3,500,1.25,2
"1391",7,800,2.5,1
"1393",9,1600,2.75,1
"1394",4,0,1.75,8
"1398",4,4000,4,1
"1400",10,2000,4,1
"1402",4,2000,2.75,1
"1403",4,2500,3.75,1
"1405",9,1000,2,1
"1410",10,1200,2.5,1
"1413",9,4000,4,1
"1416",3,880,2.5,1
"1417",2,0,1.5,4
"1426",4,700,4,2
"1428",7,800,3,1
"1429",2,680,1.75,1
"1431",8,1600,3,1
"1434",7,1200,2,1
"1436",11,1800,3.25,2
"1439",10,3800,2.75,1
"1442",10,0,3,3
"1443",4,1000,1,2
"1444",5,1000,3,1
"1446",7,1000,3,1
"1448",9,1200,4,1
"1451",12,6500,4,1
"1453",10,1200,3.5,1
"1461",4,2800,3,2
"1463",4,1500,3,1
"1464",2,900,1.75,1
"1469",12,4300,3,1
"1472",2,1300,2.5,1
"1473",5,3000,3,1
"1475",2,0,1,8
"1477",2,350,1.25,1
"1481",4,1800,2.75,1
"1482",4,800,1.75,1
"1486",11,2000,3,1
"1489",11,2500,4,1
"1491",3,900,1.75,1
"1492",3,0,2,7
"1493",7,640,3,1
"1494",6,1000,4,1
"1495",10,1900,3,1
"1497",10,2800,4,1
"1499",4,1000,2,2
"1500",3,700,2.75,1
"1501",9,3000,3,1
"1502",4,1600,2.25,1
"1506",4,1500,2.5,1
"1507",4,1100,3,1
"1511",3,800,1.25,1
"1512",5,2000,3,2
"1515",4,1300,2.75,2
"1521",4,3000,2.5,1
"1526",10,3300,3.5,1
"1531",8,3000,3,1
"1532",9,1100,2.5,1
"1533",4,1000,2,1
"1536",8,1200,2,1
"1537",4,1800,4,1
"1539",4,0,1,3
"1540",10,0,3,6
"1544",2,2800,1.5,1
"1545",7,0,1.5,4
"1546",9,1600,2.75,1
"1547",3,0,1.25,8
"1548",11,6000,4,1
"1549",3,0,2,4
"1551",5,4000,3,1
"1552",10,3500,3,1
"1553",9,800,2,1
"1556",9,1700,4,1
"1558",8,2000,2.5,1
"1560",6,400,2.5,2
"1563",5,2000,3,1
"1565",2,0,2.25,8
"1567",6,900,1.75,1
"1568",12,20000,4,1
"1570",4,750,3,1
"1571",4,500,3,2
"1575",9,0,2.5,8
"1576",5,400,1.75,2
"1577",10,2500,2.75,2
"1578",10,0,3,8
"1580",3,800,2.5,1
"1581",6,300,3,2
"1587",4,1600,3,1
"1590",9,0,4,6
"1595",4,800,3,1
"1596",10,1600,4,1
"1599",10,1260,3,1
"1601",9,3300,4,1
"1605",10,3250,4,1
"1608",3,0,4,3
"1620",10,2500,4,1
"1623",9,3000,3,1
"1627",2,0,1,7
"1629",5,0,3,3
"1630",8,1200,4,1
"1631",10,2000,4,1
"1632",6,3000,3,1
"1634",2,1300,1.5,2
"1635",4,0,2,4
"1636",1,0,1,7
"1637",9,0,3.5,8
"1638",9,3700,4,1
"1639",10,4500,4,1
"1641",4,2500,4,1
"1642",4,400,4,2
"1643",2,800,2,1
"1644",2,0,2,8
"1645",2,1300,2.25,2
"1648",2,1600,3,1
"1649",4,2500,3,1
"1650",10,2100,3.75,1
"1652",9,3500,3,1
"1654",3,0,2,8
"1655",8,4500,3,1
"1656",7,0,2.75,7
"1658",4,6500,3,1
"1659",10,4200,3,1
"1660",7,5800,3,1
"1661",3,6000,3,1
"1662",4,1600,2.75,1
"1663",3,0,2,7
"1664",3,0,1.25,6
"1666",3,4000,3,1
"1667",3,0,2,7
"1668",8,0,1.5,3
"1670",2,1200,2,1
"1671",3,2000,3,1
"1672",3,1100,2.5,2
"1673",3,1000,2.75,1
"1674",4,7000,3,1
"1675",4,1500,2.75,1
"1676",2,0,3,4
"1677",6,0,3,3
"1678",9,2400,3,1
"1679",8,3500,3,1
"1680",9,3500,3,1
"1681",4,1000,3,1
"1682",2,1200,2,1
"1683",2,0,1.5,6
"1685",9,5500,3.5,1
"1686",10,0,3,8
"1687",4,2100,3,1
"1690",3,3000,3,1
"1692",2,1300,2,2
"1693",2,0,1,8
"1694",2,1700,1.5,2
"1695",2,0,1,8
"1696",6,0,2.5,7
"1697",2,0,2,7
"1698",2,0,2,8
"1699",2,270,2,2
"1700",2,0,1.5,8
"1701",9,0,2.5,7
"1702",10,0,3,8
"1703",4,3000,2.5,1
"1704",7,0,2.75,7
"1706",2,0,1,8
"1707",3,0,3,3
"1708",4,3000,3,1
"1709",3,0,2.5,8
"1710",10,4500,3,2
"1711",2,0,1.5,7
"1712",7,2500,3,1
"1713",2,0,1.75,4
"1714",2,0,2,6
"1715",2,0,2.75,7
"1717",2,0,2.75,8
"1718",3,2000,2,1
"1719",4,0,2.5,3
"1720",4,4000,3,1
"1721",2,0,1.5,8
"1722",2,0,1.5,7
"1723",3,0,3,8
"1724",2,0,2.75,7
"1725",3,3000,2.5,1
"1726",10,5000,4,1
"1727",2,0,1.5,7
"1728",4,0,2,7
"1729",4,0,2,4
"1730",9,3000,3,1
"1731",2,1200,1.5,2
"1732",4,3200,3,1
"1734",3,4000,3,1
"1735",4,0,2,3
"1736",10,7000,3.75,1
"1737",9,0,3,8
"1738",3,0,2,7
"1739",2,0,1.5,8
"1740",3,2500,2,1
"1741",4,3800,3,1
"1742",2,0,1.5,7
"1743",9,6300,4,1
"1745",8,2500,3.25,1
"1746",2,0,1.5,7
"1747",2,1000,2,1
"1749",2,4500,2.5,1
"1751",4,1100,2.75,2
"1752",11,950,3,1
"1753",2,0,2,3
"1754",2,0,1,6
"1755",4,7000,3,1
"1756",3,0,2,3
"1759",3,300,2,2
"1761",10,3800,3,1
"1762",2,1300,2,2
"1763",4,1500,2,1
"1764",8,2000,2.5,1
"1765",2,0,1.75,8
"1766",3,0,2,8
"1768",2,700,2,2
"1771",2,1500,2.75,1
"1772",4,0,3,7
"1773",3,300,2,2
"1774",4,4000,2,1
"1775",2,0,2,8
"1776",9,4000,4,1
"1778",2,1100,2.75,1
"1779",4,1700,2.5,2
"1780",3,200,2,2
"1781",3,0,3,8
"1782",9,9000,3,1
"1783",2,0,2,7
"1784",6,5000,3,1
"1788",11,7000,1.5,1
"1790",10,6000,4,1
"1791",9,0,4,8
"1792",11,6250,4,1
"1797",10,5000,4,1
"1798",2,0,1,7
"1799",2,0,1,7
"1800",2,0,1,7
"1801",2,0,2.25,8
"1802",9,3700,4,1
"1804",9,3000,4,1
"1805",10,1000,3,1
"1806",2,0,3.5,3
"1807",10,1100,3.5,1
"1808",10,2370,4,1
"1810",10,4500,3.75,1
"1811",10,1973,4,1
"1812",10,2500,3.75,1
"1817",10,2000,3.5,1
"1818",10,3000,3.75,1
"1819",10,2560,4,1
"1820",10,1820,4,1
"1826",4,1200,3,2
"1829",10,1000,3,1
"1831",10,0,3,8
"1834",7,1800,3.75,1
"1837",10,2500,3,1
"1839",9,3500,4,1
"1846",6,0,4,6
"1849",10,7500,4,1
"1850",10,5000,4,1
"1857",9,0,4,6
"1858",10,1000,3.5,1
"1859",10,4300,3.75,1
"1861",4,3000,3,1
"1862",10,3000,4,1
"1865",4,1666,3,1
"1866",9,4500,4,1
"1867",4,0,3,3
"1869",9,1300,3,1
"1871",9,1500,3,2
"1875",10,3417,4,1
"1877",8,2500,4,1
"1887",9,0,4,6
"1889",10,3000,4,1
"1893",9,3000,4,1
"1894",4,1200,3,1
"1895",4,1600,4,1
"1896",10,5000,4,1
"1900",10,0,3,3
"1902",9,3700,4,1
"1904",10,3000,3,2
"1909",4,300,3,2
"1910",10,2000,4,1
"1911",9,2800,4,1
"1913",11,950,3.75,1
"1915",9,1900,4,1
"1917",9,1800,4,1
"1922",10,1100,4,2
"1923",9,0,3,3
"1924",9,3500,4,1
"1926",10,3200,4,1
"1929",8,1400,3,1
"1930",10,2500,4,1
